Days_for_shipping_(real),Days_for_shipment_(scheduled),Delivery_Status,Late_delivery_risk,Customer_City,Customer_Country,Customer_Zipcode,Latitude,Longitude,Market,Order_City,Order_Country,Order_Region,Order_State,Order_Status,Product_Name,Product_Price,Shipping_Mode,order_date,order_time,shipping_date,shipping_time,processing_time,shipment_status,order_city_latitude,order_city_longitude,distance,multiplier,approx_time,transit_time,effective_delivery_time
2,1,Late delivery,1,Carlisle,USA,17013,40.03171921,-76.87709808,Pacific Asia,Hubli,India,South Asia,Karnataka,CLOSED,Smart watch ,327.75,First Class,13-01-2025,0:12:00,15-01-2025,0:12:00,2,On time,15.3502,75.1376,13210.03248,0.5,6605.0162,2,4
2,1,Late delivery,1,Carlisle,USA,17013,40.03171921,-76.87709808,Pacific Asia,Hubli,India,South Asia,Karnataka,CLOSED,Smart watch ,327.75,First Class,13-01-2025,0:12:00,15-01-2025,0:12:00,2,On time,15.355,75.1362,13209.48412,0.5,6604.7421,2,4
6,4,Late delivery,1,Caguas,Puerto Rico,725,18.26469612,-66.03705597,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING,Smart watch ,327.75,Standard Class,12-01-2025,21:02:00,18-01-2025,21:02:00,6,Delayed,12.9789,77.5917,14725.6579,1,14725.6579,4,10
5,2,Late delivery,1,Rochester,USA,14609,43.18824005,-77.56706238,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING,Smart watch ,327.75,Second Class,12-01-2025,20:41:00,17-01-2025,20:41:00,5,Delayed,12.9789,77.5917,13277.63381,0.8,10622.107,3,8
6,4,Late delivery,1,Lockport,USA,14094,43.16891098,-78.69216156,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Smart watch ,327.75,Standard Class,12-01-2025,5:16:00,18-01-2025,5:16:00,6,Delayed,12.9789,77.5917,13321.58271,1,13321.5827,4,10
5,4,Late delivery,1,Caguas,Puerto Rico,725,18.20433235,-66.03705597,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Smart watch ,327.75,Standard Class,12-01-2025,4:55:00,17-01-2025,4:55:00,5,Delayed,12.9789,77.5917,14729.8317,1,14729.8317,4,9
4,2,Late delivery,1,Saint Charles,USA,63301,38.77838135,-90.50777435,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Smart watch ,327.75,Second Class,12-01-2025,4:34:00,16-01-2025,4:34:00,4,Delayed,12.9789,77.5917,14128.55395,0.8,11302.8432,3,7
3,2,Shipping canceled,0,Los Angeles,USA,90046,34.09960938,-118.3507385,Pacific Asia,Bangalore,India,South Asia,Karnataka,SUSPECTED_FRAUD,Smart watch ,327.75,Second Class,12-01-2025,4:13:00,15-01-2025,4:13:00,3,On time,12.9789,77.5917,14515.23131,0.8,11612.1851,3,6
2,4,Advance shipping,0,Cupertino,USA,95014,37.32138825,-122.0307388,Pacific Asia,Bangalore,India,South Asia,Karnataka,PROCESSING,Smart watch ,327.75,Standard Class,12-01-2025,3:52:00,14-01-2025,3:52:00,2,On time,12.9789,77.5917,14057.74404,1,14057.744,4,6
4,4,Shipping on time,0,Strongsville,USA,44136,41.3469696,-81.82631683,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,25-12-2022,11:24:00,29-12-2022,11:24:00,4,Delayed,12.9789,77.5917,13615.19005,1,13615.1901,4,8
5,4,Late delivery,1,Spring Valley,USA,10977,42.33480835,-74.93064117,Pacific Asia,Mangalore,India,South Asia,Karnataka,COMPLETE,Baby sweater,59.08000183,Standard Class,19-12-2024,1:06:00,24-12-2024,1:06:00,5,Delayed,12.8681,74.8425,13144.25125,1,13144.2512,4,9
4,4,Shipping on time,0,Milpitas,USA,95035,37.44713593,-121.9091797,Pacific Asia,Mangalore,India,South Asia,Karnataka,COMPLETE,Baby sweater,59.08000183,Standard Class,19-12-2024,0:45:00,23-12-2024,0:45:00,4,Delayed,12.8681,74.8425,14152.94815,1,14152.9481,4,8
2,4,Advance shipping,0,Grand Prairie,USA,75052,32.6425972,-97.02174377,Pacific Asia,Belgaum,India,South Asia,Karnataka,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,03-11-2022,18:29:00,05-11-2022,18:29:00,2,On time,15.85,74.5,14548.0344,1,14548.0344,4,6
4,4,Shipping on time,0,New York,USA,10029,40.79290009,-73.94426727,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Smart watch ,327.75,Standard Class,04-12-2024,5:09:00,08-12-2024,5:09:00,4,Delayed,15.3502,75.1376,13005.43927,1,13005.4393,4,8
